title	author	WD_signature	storage	publisher	year	pages
W 80 dni dookoła świata	Verne, Jules (1828-1905). 	PQ2469.T7 P6 2006		Wydaw. Waza, [	2006	196
Kuncewiczówka : dom ponad czasem	Szeloch, Katarzyna (1966- ). 	PG7158.K842 S96 2006		"""Agawa"", ["	2006	175
Słownik włosko-polski, polsko-włoski = Dizionario italiano-polacco, polacco-italiano	Terlikowska, Iwona. 		magazyn	Langenscheidt Polska, [ca 	2006	354
Bibliografia wydawnictw Towarzystwa Przyjaciół Nauk w Łodzi w latach 1936-1946 i Łódzkiego Towarzystwa Naukowego w latach 1946-2005	Walczak-Niewiadomska, Agata (1977- ). 	AS248.L645 W35 2006		Łódzkie Towarzystwo Naukowe, [	2006	381
Edward Dembowski (1822-1846) : biografia polityczna	Sykulski, Leszek. 	DK4379.5.D4 S95 2006		Wydawnictwo Naukowe GRADO, [ca 	2006	220
Spotkanie z Wampiurkiem	Welsh, Renate (1937- ). 		magazyn	"""Nasza Księgarnia"", cop. "	2005	109
Adomas Varnas : krzyże litewskie	Varnas, Adomas (1879-1979). 	NB1793.L5 V37 2005		Drukarnia i Księgarnia Świętego Wojciecha, cop. 	2005	286
Ludzie i pejzaże Warszawy	Szmit-Zawierucha, Danuta (1935-2014). 	DK4622 .S95 2005	magazyn	Fundacja Wspierania Kultury, 	2005	207
Cesarstwo rzymskie	Wells, Colin Michael (1933-2009). 			Prószyński i S-ka, [	2005	432
Zapomniane odkrycia	Teresi, Dick. 	Q124.95 .T47165 2005		"""Amber"", "	2005	396
Moja na zawsze	Venturi, Maria. 		magazyn	Wydawnictwo Książnica, 	2005	255
Odpowiedzi na pytania egzaminacyjne dla kandydatów na doradców podatkowych : pytania otwarte. [5], Dział III rozdział 5	Wesołowska, Aneta. 		magazyn	FDP, 	2005	144
Zbrodnia z miłości	Taylor, Janelle. 	PS3570.A934 D95165 2005	magazyn	Amber, 	2005	196
O jeden takson za dużo : rasa jako kategoria społecznie problematyczna	Tyrała, Radosław (1979- ). 	HT1521 .T97 2005		Oficyna Naukowa, 	2005	178
Casus Brema	Velikić, Dragan (1953- ). 	PG1419.32.E37 S58165 2005		"""Pogranicze"", "	2005	208
