title	author	WD_signature	storage	publisher	year	pages
Prawdziwe życie	Zagajewski, Adam (1945- ).		magazyn	Wydawnictwo a5, 	2019	74
Wiersze wybrane	Stabro, Stanisław (1948- ).		magazyn	Biblioteka Kraków, 	2018	128
I Ogólnopolski Konkurs Grafiki im. Ludwiga Meidnera.	Ogólnopolski Konkurs Grafiki im. Ludwiga Meidnera (1 ; 2008 ; Oleśnica).		magazyn	Konfraternia Kulturalna, [	2008	59
Ścieżki i ślady : almanach twórców konstantynowskich			magazyn	Wydawnictwo Bernard Cichosz, 	2006	172
O dar Eucharystii			magazyn	Wydawnictwo Polihymnia, 	2005	79
Klucze świętego Piotra : ogólnopolski konkurs poetycki			magazyn	Wydawnictwo Polihymnia, 	2005	83
Pieniądz rozpaczy : plon III edycji Ogólnopolskiego Konkursu Poetyckiego im. C. K. Norwida zorganizowanego przez Powiatową i Miejską Bibliotekę Publiczną im. Henryka Sienkiewicza w Pruszkowie	Ogólnopolski Konkurs Poetycki im. C. K. Norwida (3 ; 2005 ; Pruszków).		magazyn	Powiatowa i Miejska Biblioteka Publiczna, cop. 	2005	79
"""Brzeskie nostalgie"" : VII Dolnobrzeski Konkurs Literacki Dzieci i Młodzieży Szkolnej"	Dolnobrzeski Konkurs Literacki Dzieci i Młodzieży Szkolnej (7 ; 2005).		magazyn	Dolnobrzeski Ośrodek Kultury, 	2005	58
Wybór wierszy XIII Konkursu Poezji Religijnej im. ks. prof. Józefa Tischnera	Konkurs Poezji Religijnej im. ks. prof. Józefa Tischnera (13 ; 2005 ; Ludźmierz).		magazyn	Sanktuarium Matki Bożej Ludźmierskiej, 	2005	147
Poetyckie zjawisko : dziesięciolecie Klubu Młodych Twórców Wena			magazyn	[Namysłowski Ośrodek Kultury. Biblioteka Publiczna im. Stanisława Wasylewskiego], 	2005	172
"Słowem związani : I Nauczycielski Konkurs Literacki ""O Złote Pióro Gąsiora"", Grupa Literacka ""Wiązadło"""	"Nauczycielski Konkurs Literacki ""O Złote Pióro Gąsiora"" (1 ; 2004 ; Gorzów Wielkopolski)."		magazyn	Wojewódzki Ośrodek Metodyczny, 	2005	51
XXIX Ogólnopolski Konkurs Poetycki im. Haliny Poświatowskiej : utwory nagrodzone i wyróżnione : praca zbiorowa	Ogólnopolski Konkurs Poetycki im. Haliny Poświatowskiej (29 ; 2005 ; Częstochowa).		magazyn	Regionalny Ośrodek Kultury, 	2005	72
Okolice Czartaka : pokłosie II Ogólnopolskiego Konkursu Literackiego i Rzeźbiarskiego im. Emila Zegadłowicza. Z. 2	Ogólnopolski Konkurs Literacki i Rzeźbiarski im. Emila Zegadłowicza (2 ; 2003 ; Kraków / Gorzeń Górny).		magazyn	Stowarzyszenie Twórcze Artystyczno-Literackie. Zarząd Główny, 	2004	32
Magia słowa : laureaci VII Dzielnicowego Konkursu Literackiego 2004	Dzielnicowy Konkurs Literacki (7 ; 2004 ; Warszawa-Praga Południe).		magazyn	Wydaw. Książkowe IBiS, [	2004	110
Galiziade : II. Internationales Künstler und Schriftstellertreffen	Internationales Künstler und Schriftstellertreffen (2 ; 2003 ; Wiedeń).		magazyn	Vereinigung für Kunst und Literatur, 	2003	154
Na strunach wiosny : almanach poetycki			magazyn	Tad-Ad, 	2003	78
Szczerość szczodrze szczerbi życie : pokłosie X Ogólnopolskiego Konkursu Poetyckiego im. Wacława Olszewskiego	Ogólnopolski Konkurs Poetycki im. Wacława Olszewskiego (10 ; 2003 ; Bełchatów).		magazyn	Miejska i Powiatowa Biblioteka Publiczna, 	2003	80
Konkurs prozy i Poezji O Złoty Kałamarz i Złamane Pióro , X edycja : prace nagrodzone	Konkurs Prozy i Poezji o Złoty Kałamarz i Złamane Pióro (10 ; 2003 ; Kraków).		magazyn	Wydawnictwo Naukowe AP, 	2003	43
