title	author	WD_signature	storage	publisher	year	pages
KKS - Kodeks karny skarbowy		KKP3693.A311999 A4 2017b		Wydawnictwo C. H. Beck	2017	104
Kobiety niepokorne : reformatorki, buntowniczki, rewolucjonistki : Herstorie			magazyn	Wydawnictwo Uniwersytetu Łódzkiego	2017	197
The V4 towards migration challenges in Europe : an analysis and recommendations		JV7590 .V125 2017	magazyn	Wydawnictwo Uniwersytetu Łódzkiego	2017	237
Wirtualne targowisko : o reklamie, marketingu i promowaniu się w Internecie. T. 3		HF5415.1265 .W57 2017 t.3		"Dom Wydawniczy ""Elipsa"""	2017	247
Jak poprawić stan zdrowia i wpływać na redukowanie nierówności społecznych w zdrowiu w społecznościach lokalnych? : modelowe programy promocji zdrowia i profilaktyki chorób przewlekłych dla społeczności powiatów i gmin			magazyn	Narodowy Instytut Zdrowia Publicznego - Państwowy Zakład Higieny	2017	229
"Polityka senioralna w Polsce : doświadczenia miasta Poznania : materiały pokonferencyjne ""Wyzwania polityki senioralnej w Polsce. Doświadczenia miasta Poznania"", 22 listopada 2016 roku"			magazyn	Wydział Zdrowia i Spraw Społecznych Urzędu Miasta Poznania	2017	121
Edukacja dla przyszłości w perspektywie orientacji na rynek pracy : debaty, szkice, refleksje polsko-ukraińskie = Osvìta dlâ majbutnʹogo u perspektivì orìêntacìï na rinok pracì : debati, zarisi, polʹsʹko-ukraïnsʹkì refleksìï		HD5797.7.A6 E387 2017		Wydawnictwo Uniwersytetu Kazimierza Wielkiego	2017	484
Multimedia. T. 2, Obraz-interakcje		ML3849 .M85 2017 t.2		Wydawnictwo Uniwersytetu Muzycznego Fryderyka Chopina	2017	488
Temporalne aspekty problematyki szkolnictwa wyższego		LA843 .T45 2017	magazyn	Centrum Badań Społecznych UWM	2017	209
Słownik ortograficzny PWN		PG6146 .S584 2017		Wydawnictwo Naukowe PWN	2017	458
Metafizyka. Cz. 1, Koncepcje metafizyki		BD116 .M39 2017 t.1		Wydawnictwo KUL	2017	501
Proza Tadeusza Micińskiego : studia		PG7158.M482 P73 2017	magazyn	Wydawnictwo Alter Studio	2017	596
Business and non-profit organizations facing increased competition and growing customers' demands		HD29 .B8765 2017		"Foundation for the Dissemination of Knowledge and Science "" Cognitione"""	2017	608
Horyzonty pedagogiki resocjalizacyjnej : księga jubileuszowa profesora Wiesława Ambrozika		HV9076 .H67 2017		Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza	2017	541
Kryzys migracyjny w Europie : wyzwania etyczne, społeczno-kulturowe i etniczne		JV7590 .K79 2017		Wydawnictwo Naukowe UKSW	2017	312
Europa Karpat : rzecz o współpracy			magazyn	Kancelaria Sejmu. Wydawnictwo Sejmowe	2017	131
Hortiterapia jako element wspomagający leczenie tradycyjne		RM735.7.G37 H673 2017		Rhytmos	2017	257
Nowy(?) kanon(?) : wokół Nagrody Literackiej Nike		PG7098.5 .N68 2017		Wydawnictwo Uniwersytetu Śląskiego	2017	206
Deputaci Trybunału Koronnego 1578-1794 : spis. Cz. 4, 1701-1750		KKP285.L38 D47 2017 t.4	magazyn	Uniwersytet Marii Curie-Skłodowskiej	2017	409
460 lat Podgórza 1555-2015.			magazyn	Towarzystwo Miłośników Torunia	2017	178
Opieka i wsparcie jako zadanie całożyciowe : studia z pedagogiki opiekuńczej		HV40 .O65 2017		"Wydawnictwo Edukacyjne ""Akapit"""	2017	336
Rachunek kosztów, rachunkowość zarządcza, controlling		HF5686.C8 R2853 2017		Wydawnictwo Uniwersytetu Ekonomicznego	2017	148
Rok 1863 w kilku odsłonach		DK4372.2 .R65 2017		Wydawnictwo KUL	2017	456
Deputaci Trybunału Koronnego 1578-1794 : spis. Cz. 3, 1661-1700			magazyn	Uniwersytet Marii Curie-Skłodowskiej	2017	322
Społeczne innowacje zdrowotne w polityce władz lokalnych : obraz obywatelskiej odpowiedzialności		RA395.P57 S665 2017		Wydawnictwo Adam Marszałek	2017	209
Hybrid warfare in Ukraine : outcomes and recommendations for Europe and the world			magazyn	Defence Education Enhancement Programme (DEEP)	2017	206
Kościół katolicki w Europie Środkowo-Wschodniej w obliczu dwóch totalitaryzmów (1917-1990). T. 2		BX1490.5 .K67 2015 t.2		Wydawnictwo bł. Jakuba Strzemię Archidiecezji Lwowskiej	2017	300
Wybrane kategorie problemów społecznych : wprowadzenie = Chosen categories of social problems : introduction		HV315.7 .W926 2017		Wydawnictwo Uniwersytetu Rzeszowskiego	2017	227
Aleksander Kakowski - posłaniec wolności : zeszyt dokumentacyjny		BX4705.K245 A54 2017		Muzeum Niepodległości	2017	316
Deputaci Trybunału Koronnego 1578-1794 : spis. Cz. 2, 1621-1660		KKP285.L38 D47 2017 t.2	magazyn	Uniwersytet Marii Curie-Skłodowskiej	2017	330
Socio-economic potential on the Polish-Ukrainian border		HC340.3.Z7 P6366 2017		Publishing House of The Bronisław Markiewicz State Higher School of Technology and Economics in Jarosław	2017	303
Stetoskop i habit			magazyn	Wydawnictwo Sióstr Loretanek	2017	139
Gospodarowanie wiejską przestrzenią w skali lokalnej		HT395.P6 G7 2017		Wydawnictwo Uniwersytetu Łódzkiego	2017	164
New quality of management		HD31.2 .N49 2017		Department of Quality and Knowledge Management. Faculty of Economics. University of Maria Curie-Skłodowska	2017	104
Doskonalenie działania przedsiębiorstw i instytucji wobec przemian społeczno-gospodarczych : innowacje, finanse, otoczenie biznesu		HD36 .D663 2017		Fundacja Uniwersytetu Ekonomicznego	2017	252
