title	author	WD_signature	storage	publisher	year	pages
Proceedings of the Second Central European Conference of Young Egyptologists, : Egypt 2001 perspectives of research, Warsaw, 5-7 March 2001	Central European Conference of Young Egyptologists (2 ; 2001 ; Warszawa). 	DT60 .C46 2001		Institute of Archeology. Warsaw University, 	2003	158
John Fitzgerald Kennedy	Brogan, Hugh (1936-2019). 	E842 .B75165 2003	magazyn	Zakład Narodowy im. Ossolińskich - Wydaw., 	2003	295
Droga świętości ks. Michała Sopoćki : kierownik duchowy i spowiednik s. Faustyny	Ciereszko, Henryk (1955- ). 		magazyn	Wydawnictwo WAM, 	2003	125
Metafizyczne rozważania o czasie : idea czasu w filozofii i literaturze	Buczyńska-Garewicz, Hanna (1932-2019). 	BD638 .B84 2003		Universitas, copyright ©	2003	245
Łacińskie szkolnictwo parafialne na Rusi Koronnej od XVI do XVIII wieku	Chachaj, Jacek (1969- ). 	LC506.U4 C47 2003	magazyn	Tow. Naukowe KUL, cop. 	2003	289
Praga i Czechy	Brook, Stephen (1947- ). 	DB2010 .B76165 2003		G+J RBA, cop. 	2003	334
English across marine engineering	Buczkowska, Wiesława. 	PE1127.T37 B83 2003		Fundacja Promocji  Przemysłu Okrętowego i Gospodarki Morskiej, 	2003	423
Prawda mitu i literatury : o pisarstwie Tadeusza Borowskiego i Leopolda Buczkowskiego	Buryła, Sławomir (1969- ). 	PG7158.B6132 B87 2003		Universitas, cop. 	2003	334
Ekonomika przedsiębiorstwa. T. 1	Bućko, Józef. 	HD36 .B83 2003 t.1		Politechnika Radomska. Wydaw., 	2003	177
Zygmunt Gawlik (1895-1961) : architekt katedry katowickiej	Burno, Filip. 	NA5955.P63 G3833 2003		Księgarnia św. Jacka, 	2003	257
The decipherment of linear B	Chadwick, John (1920-1998). 	P1035 .C5 2003		Cambridge University Press, 	2003	164
Wybór poezji	Brodziński, Kazimierz (1791-1835). 	PG7158.B73 A17 2003		Universitas, cop. 	2003	154
Teraz, odkryj swoje silne strony	Buckingham, Marcus. 	HF5549.5.M63 B83165 2003		"""MT Biznes"", "	2003	288
Matki i córki : nie przestawaj mnie kochać : poradnik dla matek dorastających córek	Caron, Ann F. 	HQ755.85 .C359165 2003		Gdańskie Wydaw. Psychologiczne, 	2003	183
Biblia a literatura polska : antologia	Bukowski, Kazimierz (1933-1999). 	PG7135.2.C47 B8 2003		Pallottinum, 	2003	392
