source	title	author	WD_signature	storage	publisher	year	pages	language
tags	Czysty kod w Pythonie	Kapil, Sunil.	QA76.73.P98 K365165 2020		Helion SA, copyright 	2020	176	pl
tags	Klasyczne problemy informatyki w Pythonie	Kopec, David.	QA76.73.P98 K66165 2020		Wydawnictwo Naukowe PWN, 	2020	216	pl
tags	Zrozumieć Bitcoin : programowanie kryptowalut od podstaw	Song, Jimmy.	QA76.9.B56 S67165 2020		Helion, © 	2020	291	pl
tags	Zrozumieć głębokie uczenie	Trask, Andrew W.	Q325.5 .T73165 2019		Wydawnictwo Naukowe PWN, 	2019	330	pl
tags	Matematyczne przygody z Pythonem : ilustrowany podręcznik do nauki matematyki przez programowanie	Farrell, Peter (1966- ).	QA20.C65 F37165 2019		PWN, 	2019	276	pl
tags	Python : programowanie funkcyjne	Lott, Steven F. (1956- ).	QA76.73.P98 L7165 2019		Helion SA, copyright 	2019	352	pl
tags	Deep learning : praca z językiem Python i biblioteką Keras	Chollet, François.	Q325.5 .C49165 2019		Helion, copyright © 	2019	367	pl
tags	Deep Learning : receptury	Osinga, Douwe.	Q325.5 .O84165 2019		Helion, © 	2019	238	en
tags	Programista samouk : profesjonalny przewodnik do samodzielnej nauki kodowania	Althoff, Cory.	QA76.6 .A48165 2018		Wydawnictwo Helion, copyright © 	2018	252	pl
tags	Superkoderki	Gonzales, Andrea.	QA76.2.A2 G66165 2018		Wydawnictwo Czarna Owca, 	2018	303	pl
tags	Twórz własne gry komputerowe w Pythonie	Sweigart, Al.	QA76.76.C672 S9165 2017		Wydawnictwo Naukowe PWN, 	2017	388	pl
tags	Przetwarzanie i analiza danych w języku Python	Gągolewski, Marek (informatyka).	QA76.73.P98 G28 2016		Wydawnictwo Naukowe PWN, 	2016	369	pl
tags	Nauka programowania z Minecraftem® : buduj niesamowite światy z wykorzystaniem mocy Pythona!	Richardson, Craig.	QA76.73.P98 R53165 2016		Wydawnictwo Naukowe PWN, 	2016	314	pl
tags	Python : programuj szybko i wydajnie	Gorelick, Micha.	QA76.73.P98 G67165 2015		Helion, cop. 	2015	340	pl
tags	Informatyka kwantowa : wybrane obwody i algorytmy	Sawerwain, Marek (1976- ).	QA76.889 .S346 2015		Wydawnictwo Naukowe PWN, 	2015	368	pl
tags	Python : receptury	Beazley, David M.	QA76.73.P98 B425165 2014		Wydawnictwo Helion, 	2014	599	en
tags	Python 3 : kompletne wprowadzenie do programowania	Summerfield, Mark.	QA76.73.P98 S85165 2010		Helion, cop. 	2010	636	pl
tags	Python : projekty do wykorzystania	Knowlton, James O.	QA76.73.P98 K58165 2010		Helion, 	2010	260	pl
tags	Python : rozmówki	Dayley, Brad.	QA76.73.P98 D39165 2007		Wydawnictwo HELION, cop. 	2007	290	pl
tags	Python : od podstaw		QA76.73.P98 B45165 2007		Helion, 	2006	697	pl
tags	Latający Cyrk Monty Pythona : tylko słowa. T. 2		PN1992.77.M583 M66165 2004 t.2		Wydawnictwo RM, cop. 	2006	379	pl
tags	Latający Cyrk Monty Pythona : tylko słowa. T. 1		PN1992.77.M583 M66165 2004 t.1		Wydawnictwo RM, 	2004	349	pl
tags	Ćwiczenia z języka Python	Mysior, Marian.	QA76.73.P98 M98 2003		Mikom, 	2003	201	pl
tags	Programowanie : Python	Beazley, David M.	QA76.73.P98 B43165 2002		Wydawnictwo RM, 	2002	371	pl
